[2024-11-20 17:53:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:53:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:54:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:55:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:56:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:57:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:58:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:36] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:46] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 17:59:56] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 18:00:06] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 18:00:16] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
[2024-11-20 18:00:26] [INFO] Data Exchange (Byte Stream): EnergySource:ac, power:212.0
