[2024-11-05 10:15:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:16:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:17:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:18:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:19:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:20:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:21:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:22:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:23:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:24:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:25:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:26:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:27:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:28:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:29:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:30:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:31:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:32:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:33:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:34:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:35:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:36:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:36:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:36:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:36:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:90.0
[2024-11-05 10:36:41] [INFO] Data Exchange (Character Stream): ChargingStation:charger, power:250.0
