[2024-11-05 10:36:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:36:50] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:36:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:00] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:10] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:20] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:30] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:40] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:550.0
[2024-11-05 10:37:50] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:37:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:00] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:10] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:20] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:30] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:40] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:50] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:38:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:00] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:10] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:20] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:30] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:40] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:50] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:39:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:00] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:10] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:20] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:30] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:40] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:40:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
