[2024-10-28 18:04:23] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:04:33] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:04:43] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:04:53] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:03] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:13] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:23] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:33] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:43] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:05:53] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:03] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:13] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:23] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:33] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:43] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:06:53] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:03] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:13] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:23] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:33] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:43] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
[2024-10-28 18:07:53] [INFO] Data Exchange (Byte Stream): EnergySource:dada, power:200.0
