[2024-11-20 17:57:37] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:57:47] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:57:57] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:07] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:17] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:27] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:37] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:47] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:58:57] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:07] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:17] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:27] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:37] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:47] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 17:59:57] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 18:00:07] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 18:00:17] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
[2024-11-20 18:00:27] [INFO] Data Exchange (Byte Stream): EnergySource:wkdkww, power:400.0
